file,true_label,predicted_label
10133.jpg,cat,cat
10134.jpg,cat,cat
10135.jpg,cat,cat
10136.jpg,cat,cat
10137.jpg,cat,cat
10138.jpg,cat,cat
10139.jpg,cat,cat
1014.jpg,cat,cat
10140.jpg,cat,cat
10141.jpg,cat,cat
10142.jpg,cat,cat
10143.jpg,cat,cat
10144.jpg,cat,cat
10145.jpg,cat,cat
10146.jpg,cat,cat
10147.jpg,cat,cat
10148.jpg,cat,cat
10149.jpg,cat,cat
1015.jpg,cat,cat
10150.jpg,cat,cat
10151.jpg,cat,cat
10152.jpg,cat,cat
10153.jpg,cat,cat
10154.jpg,cat,cat
10155.jpg,cat,cat
10156.jpg,cat,cat
10157.jpg,cat,cat
10158.jpg,cat,cat
10159.jpg,cat,cat
1016.jpg,cat,cat
10160.jpg,cat,cat
10161.jpg,cat,cat
10162.jpg,cat,cat
10163.jpg,cat,cat
10164.jpg,cat,cat
10165.jpg,cat,cat
10166.jpg,cat,cat
10167.jpg,cat,cat
10168.jpg,cat,cat
10169.jpg,cat,cat
1017.jpg,cat,cat
10170.jpg,cat,cat
10171.jpg,cat,cat
10172.jpg,cat,cat
10173.jpg,cat,cat
10174.jpg,cat,cat
10175.jpg,cat,cat
10176.jpg,cat,cat
10177.jpg,cat,cat
10178.jpg,cat,cat
10179.jpg,cat,cat
1018.jpg,cat,cat
10180.jpg,cat,cat
10181.jpg,cat,cat
10182.jpg,cat,cat
10183.jpg,cat,cat
10184.jpg,cat,cat
10185.jpg,cat,cat
10186.jpg,cat,cat
10187.jpg,cat,cat
10188.jpg,cat,cat
10189.jpg,cat,cat
1019.jpg,cat,cat
10190.jpg,cat,cat
10191.jpg,cat,cat
10192.jpg,cat,cat
10193.jpg,cat,cat
10194.jpg,cat,cat
10195.jpg,cat,cat
10196.jpg,cat,cat
10197.jpg,cat,cat
10198.jpg,cat,cat
10199.jpg,cat,cat
102.jpg,cat,cat
1020.jpg,cat,cat
10200.jpg,cat,cat
10201.jpg,cat,cat
10202.jpg,cat,cat
10203.jpg,cat,cat
10204.jpg,cat,cat
10205.jpg,cat,cat
10206.jpg,cat,cat
10207.jpg,cat,cat
10208.jpg,cat,cat
10209.jpg,cat,cat
1021.jpg,cat,cat
10210.jpg,cat,cat
10211.jpg,cat,cat
10212.jpg,cat,cat
10213.jpg,cat,cat
10214.jpg,cat,cat
10215.jpg,cat,cat
10216.jpg,cat,cat
10217.jpg,cat,cat
10218.jpg,cat,cat
10219.jpg,cat,cat
1022.jpg,cat,cat
10220.jpg,cat,cat
